sec,x,y
31.639,693.29,362.17
31.673,674.26,356.73
31.706,690.57,355.37
31.739,674.26,359.45
31.773,690.57,363.53
31.806,676.98,360.81
31.906,687.85,367.6
31.939,681.05,359.45
32.073,679.7,351.29
32.239,668.82,354.01
32.273,681.05,359.45
32.339,668.82,364.88
32.506,653.87,363.53
32.739,641.64,366.24
32.906,656.59,360.81
32.939,640.28,364.88
32.973,647.08,364.88
33.339,648.44,364.88
33.406,660.67,366.24
33.439,651.16,356.73
33.473,660.67,363.53
33.506,653.87,363.53
33.706,666.1,360.81
33.773,675.62,347.22
33.939,696,340.42
34.106,693.29,354.01
34.239,687.85,362.17
34.339,676.98,345.86
34.673,670.18,355.37
34.773,679.7,362.17
35.239,675.62,352.65
35.339,687.85,349.93
35.673,693.29,348.58
35.806,691.93,358.09
35.973,691.93,363.53
36.399,683.77,370.32
