sec,x,y
12.956,633.4,440.11
12.989,591.6,437.2
13.056,518.69,403.17
13.09,480.77,379.84
13.123,473.97,369.14
13.19,487.58,356.51
13.257,512.85,375.95
13.323,519.66,395.39
13.357,536.18,411.92
13.457,573.13,452.75
13.524,596.46,493.58
13.557,597.43,517.88
13.59,615.9,515.94
13.657,615.9,541.22
13.691,632.43,540.24
13.724,621.73,555.8
13.757,631.46,556.77
13.791,628.54,567.46
13.891,608.12,536.35
13.924,601.32,521.77
13.958,613.96,491.64
13.991,635.34,484.83
14.058,673.26,547.05
14.091,655.76,616.07
14.125,639.23,641.35
14.158,615.9,653.01
14.192,597.43,638.43
14.258,562.43,597.6
14.292,577.99,585.93
14.325,587.71,582.05
14.358,602.29,569.41
14.392,601.32,539.27
14.416,594.1,540.6
14.459,575.07,443.03
14.492,535.21,399.28
14.516,461.57,399.38
14.525,467.16,396.36
14.549,413.21,422.97
14.559,421.47,409
14.583,382.25,480.62
14.592,393.28,472.19
14.616,384.73,478.3
14.65,447.07,532.59
14.659,442.86,540.24
14.692,504.1,536.35
14.726,565.35,520.8
14.759,619.79,503.3
14.793,655.76,482.89
14.817,652.05,485.86
14.859,698.53,435.25
14.893,693.67,419.7
14.926,682.01,406.09
14.945,652.15,405.39
14.96,651.87,396.36
14.979,615.76,414.7
14.993,622.71,408.03
15.012,612.43,419.56
15.045,557.7,430.93
15.06,573.13,417.75
15.079,551.6,438.86
15.093,550.77,427.47
15.127,545.91,442.06
15.179,576.04,438.17
15.212,569.24,438.17
15.246,586.74,432.33
15.279,588.68,456.64
15.313,589.65,473.16
15.346,581.88,498.44
15.379,564.38,507.19
15.446,526.46,509.13
15.484,542.39,502.78
15.513,524.52,529.55
15.518,531.24,514.15
15.58,534.24,538.3
15.618,545.04,524.6
15.647,591.6,587.88
15.651,576.87,575.25
15.68,579.93,604.41
15.713,588.68,624.82
15.747,584.79,637.46
15.914,587.71,621.9
16.114,584.79,607.32
16.248,603.26,617.04
16.281,612.01,639.4
16.311,643.69,647.4
16.314,636.32,675.37
16.344,650.99,697.72
16.348,646.04,716.2
16.378,664.59,742.61
16.381,656.73,763.84
16.444,684.22,769.87
16.448,663.54,798.84
16.481,654.79,856.19
16.515,666.45,867.86
16.548,661.59,882.44
16.582,653.82,886.33
16.648,664.51,865.91
16.815,660.62,879.53
16.882,699.51,932.02
16.915,697.56,958.27
16.949,704.37,991.32
16.982,702.42,1010.77
17.082,686.87,1069.09
