sec,x,y
16.1,483.87,385.95
16.133,493.38,385.95
16.2,516.49,384.59
16.266,573.57,429.44
16.3,591.24,467.49
16.333,598.03,483.8
16.433,566.77,530.01
16.466,536.87,519.14
16.5,505.61,494.68
16.533,479.79,460.7
16.566,444.46,437.6
16.633,411.84,428.08
16.667,430.87,428.08
16.7,447.17,428.08
16.767,471.64,414.49
16.867,458.05,403.62
16.933,444.46,391.39
17.033,468.92,369.64
17.067,516.49,349.26
17.1,532.8,349.26
17.133,546.39,353.33
17.167,581.72,372.36
17.233,602.11,385.95
17.267,630.65,441.67
17.3,651.03,481.09
17.333,667.34,515.06
17.433,646.96,521.86
17.467,602.11,479.73
17.5,580.36,462.06
17.533,558.62,445.75
17.633,540.95,413.13
17.667,559.98,402.26
17.733,577.64,419.93
17.867,527.36,451.19
17.9,519.2,462.06
18,521.92,489.24
18.067,553.18,504.19
18.1,580.36,524.58
18.133,615.7,536.81
18.167,661.91,562.63
18.233,690.45,583.01
18.267,708.11,623.79
18.367,678.21,687.66
18.433,660.55,735.23
18.467,653.75,795.03
18.667,668.7,706.69
18.7,651.03,649.61
18.733,634.73,610.2
18.767,614.34,574.86
18.833,589.88,547.68
18.867,592.59,505.55
18.9,603.47,504.19
18.933,633.37,493.32
19.067,670.06,515.06
19.133,701.32,536.81
19.233,720.35,559.91
19.467,731.22,538.17
19.533,720.35,501.47
19.567,704.04,468.85
19.667,729.86,470.21
20.067,747.53,512.34
20.1,740.73,538.17
20.133,724.42,573.5
20.167,682.29,607.48
20.267,576.29,585.73
20.3,538.23,565.35
20.333,512.41,532.73
20.367,481.15,510.98
20.433,458.05,493.32
20.467,448.53,468.85
20.5,428.15,455.26
20.533,460.77,479.73
20.633,473,523.22
20.667,497.46,559.91
20.733,505.61,535.45
20.767,493.38,525.93
20.833,468.92,508.27
20.9,463.48,505.55
20.933,458.05,489.24
21.033,459.41,460.7
21.1,460.77,433.52
21.167,443.1,429.44
21.233,403.68,418.57
21.267,383.3,407.7
21.3,372.43,391.39
21.333,391.45,372.36
21.367,418.63,372.36
21.433,437.66,369.64
21.467,464.84,380.51
21.5,542.31,404.98
21.533,566.77,418.57
21.567,588.52,428.08
21.633,579,449.83
21.7,565.41,443.03
21.733,555.9,428.08
21.767,540.95,410.41
21.867,532.8,402.26
22.067,513.77,384.59
22.1,496.1,394.11
22.3,530.08,383.23
22.367,521.92,347.9
22.433,508.33,330.23
22.467,496.1,315.28
22.5,506.97,294.89
22.567,526,282.66
22.7,542.31,304.41
22.8,553.18,322.08
22.833,562.69,335.67
22.867,592.59,342.46
22.9,651.03,375.08
22.933,671.42,387.31
22.967,697.24,380.51
23.033,744.81,394.11
23.067,785.58,396.82
23.1,860.33,381.87
23.133,886.15,364.21
23.233,849.46,326.15
23.267,801.89,318
23.3,729.86,318
