order,story,direction,forehead,eyes,mouth,chin,upperchest,midchest,lowerchest,belly,left,right,total
,Cinderella,reversed,15.16,4.21,2.56,1.32,0.71,0.57,0.38,,0.48,2.48,27.87
,Goldilocks,forward,0.61,1.12,0.5,0.02,,,,,0.29,0.02,2.56
,KingMidas,forward,1.57,30.28,7.97,0.48,0.04,0.02,0.12,0.01,0.97,0.16,41.62
,RedRidingHood,reversed,0.58,12.47,4.5,0.25,0.15,,,,,,17.95
