id,maingroup,hearing,aoasl,age,direction,aoi,percent
1,DeafEarly,Deaf,3,24,forward,eyes,0.1817594228917125
1,DeafEarly,Deaf,3,24,reversed,eyes,0.30454422003096304
2,DeafEarly,Deaf,3,41,forward,eyes,0.0418541721756604
2,DeafEarly,Deaf,3,41,reversed,eyes,0.19908650825430618
3,DeafLate,Deaf,4,34,forward,eyes,0.052853329462660845
3,DeafLate,Deaf,4,34,reversed,eyes,0.06028415992235022
4,DeafLate,Deaf,6,31,forward,eyes,0.001686340640809445
4,DeafLate,Deaf,6,31,reversed,eyes,8.2146768893757e-4
5,DeafLate,Deaf,5,39,forward,eyes,0.31340206185567
5,DeafLate,Deaf,5,39,reversed,eyes,0.829679595278246
7,DeafLate,Deaf,9,38,forward,eyes,4.95049504950495e-4
7,DeafLate,Deaf,9,38,reversed,eyes,0
9,DeafLate,Deaf,10,39,forward,eyes,0.3621533610848005
9,DeafLate,Deaf,10,39,reversed,eyes,0.43199550513983953
10,DeafLate,Deaf,12,43,forward,eyes,0.510500807754443
10,DeafLate,Deaf,12,43,reversed,eyes,0.688843398157625
11,DeafLate,Deaf,13,26,forward,eyes,0.1547938641456525
11,DeafLate,Deaf,13,26,reversed,eyes,0.128712487776381
12,DeafLate,Deaf,13,34,forward,eyes,0.08521487639129043
12,DeafLate,Deaf,13,34,reversed,eyes,0.020792197031134295
13,DeafLate,Deaf,14,37,forward,eyes,0.026564363423954036
13,DeafLate,Deaf,14,37,reversed,eyes,0.08216912751918795
14,DeafLate,Deaf,15,44,forward,eyes,0.3945859500038581
14,DeafLate,Deaf,15,44,reversed,eyes,0.1086107472164025
15,DeafEarly,Deaf,0,32,forward,eyes,0.09737414948252034
15,DeafEarly,Deaf,0,32,reversed,eyes,0.07177746456108561
16,DeafEarly,Deaf,0,24,forward,eyes,0.207404581092225
16,DeafEarly,Deaf,0,24,reversed,eyes,0.3453589580531945
17,DeafEarly,Deaf,0,29,forward,eyes,0.003331430296348795
17,DeafEarly,Deaf,0,29,reversed,eyes,0
18,DeafEarly,Deaf,0,37,forward,eyes,0.004414361389052385
18,DeafEarly,Deaf,0,37,reversed,eyes,4.134509371554575e-4
19,DeafEarly,Deaf,0,22,forward,eyes,0.271498107084911
19,DeafEarly,Deaf,0,22,reversed,eyes,0.11779357482482475
20,DeafEarly,Deaf,0,57,forward,eyes,0.25361182100312535
20,DeafEarly,Deaf,0,57,reversed,eyes,0.09581550913278095
21,DeafEarly,Deaf,0,24,forward,eyes,0.00756466569058075
21,DeafEarly,Deaf,0,24,reversed,eyes,2.84090909090909e-4
22,DeafEarly,Deaf,0,33,forward,eyes,0.245276198935525
22,DeafEarly,Deaf,0,33,reversed,eyes,0.08987083252960501
24,DeafEarly,Deaf,1,37,forward,eyes,0.07344481071417935
24,DeafEarly,Deaf,1,37,reversed,eyes,0.08125735855439606
25,DeafEarly,Deaf,1,30,forward,eyes,0.0935877926918728
25,DeafEarly,Deaf,1,30,reversed,eyes,0.122955145118734
26,DeafEarly,Deaf,1,37,forward,eyes,0.01201846329929825
26,DeafEarly,Deaf,1,37,reversed,eyes,0.3868954592642398
28,HearingLate,Hearing,12,22,forward,eyes,0.6546007868485455
28,HearingLate,Hearing,12,22,reversed,eyes,0.8159052538453946
29,HearingLate,Hearing,13,23,forward,eyes,0.49944648275508197
29,HearingLate,Hearing,13,23,reversed,eyes,0.46888157127354346
30,HearingLate,Hearing,14,29,forward,eyes,0.708161582852432
30,HearingLate,Hearing,14,29,reversed,eyes,0.4631881114377895
31,HearingLate,Hearing,15,32,forward,eyes,0.0197910940076965
31,HearingLate,Hearing,15,32,reversed,eyes,0.03162723322066635
32,HearingLate,Hearing,15,18,forward,eyes,0.09590673723321405
32,HearingLate,Hearing,15,18,reversed,eyes,2.75633958103638e-4
33,HearingLate,Hearing,18,29,forward,eyes,0.0208665931428516
33,HearingLate,Hearing,18,29,reversed,eyes,0.005409722707560284
34,HearingLate,Hearing,18,30,forward,eyes,0.4847578211963205
34,HearingLate,Hearing,18,30,reversed,eyes,0.4236969342755435
35,HearingLate,Hearing,19,39,forward,eyes,0.3168351386550406
35,HearingLate,Hearing,19,39,reversed,eyes,0.8713670138970535
36,HearingLate,Hearing,19,26,forward,eyes,0.5968741315716345
36,HearingLate,Hearing,19,26,reversed,eyes,0.622989673269003
37,HearingLate,Hearing,20,38,forward,eyes,0.0719252575149459
37,HearingLate,Hearing,20,38,reversed,eyes,0.0535472749543857
38,HearingLate,Hearing,22,28,forward,eyes,0.00694058856191005
38,HearingLate,Hearing,22,28,reversed,eyes,0.02467604080507305
39,HearingLate,Hearing,22,33,forward,eyes,9.05250452625225e-4
39,HearingLate,Hearing,22,33,reversed,eyes,0
42,HearingNovice,Hearing,15,19,forward,eyes,0.061217313103239114
42,HearingNovice,Hearing,15,19,reversed,eyes,0.0108187134502924
43,HearingNovice,Hearing,16,21,forward,eyes,0.11931058273245106
43,HearingNovice,Hearing,16,21,reversed,eyes,0.12304420922429454
44,HearingNovice,Hearing,17,21,forward,eyes,0.8405878409823535
44,HearingNovice,Hearing,17,21,reversed,eyes,0.7227756239477234
45,HearingNovice,Hearing,17,18,forward,eyes,0.00768808347062055
45,HearingNovice,Hearing,17,18,reversed,eyes,0.00753405668046634
46,HearingNovice,Hearing,18,20,forward,eyes,0.31913352922037397
46,HearingNovice,Hearing,18,20,reversed,eyes,0.17180483832158
47,HearingNovice,Hearing,18,20,forward,eyes,0.0321913097434115
47,HearingNovice,Hearing,18,20,reversed,eyes,0.16355560263371047
48,HearingNovice,Hearing,19,21,forward,eyes,0.1441464713208532
48,HearingNovice,Hearing,19,21,reversed,eyes,0.379904078985882
